source_summary,model,interval,score,n,positives,auc,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
summary3,multi_task,10,avg_progress,24,0,,72.7677311710648,1.0,0.0,0.0,0.0,0,0,24,0
summary3,multi_task,10,forward_progress,24,0,,75.800001,1.0,0.0,0.0,0.0,0,0,24,0
summary3,multi_task,10,incremental_progress,24,0,,84.20319151319443,1.0,0.0,0.0,0.0,0,0,24,0
summary3,multi_task,10,backward_progress,24,0,,63.300000999999995,1.0,0.0,0.0,0.0,0,0,24,0
summary3,multi_task,20,avg_progress,24,0,,70.8720117155875,1.0,0.0,0.0,0.0,0,0,24,0
summary3,multi_task,20,forward_progress,24,0,,75.800001,1.0,0.0,0.0,0.0,0,0,24,0
summary3,multi_task,20,incremental_progress,24,0,,77.19661142372581,1.0,0.0,0.0,0.0,0,0,24,0
summary3,multi_task,20,backward_progress,24,0,,63.300000999999995,1.0,0.0,0.0,0.0,0,0,24,0
summary_GRM8B_new,GRM-2.0-8B,10,avg_progress,45,3,0.9841269841269841,77.80267705580303,0.9777777777777777,0.75,1.0,0.8571428571428571,3,1,41,0
summary_GRM8B_new,GRM-2.0-8B,10,forward_progress,45,3,0.9206349206349206,91.2,0.8888888888888888,0.375,1.0,0.5454545454545454,3,5,37,0
summary_GRM8B_new,GRM-2.0-8B,10,incremental_progress,45,3,0.9285714285714286,73.72744394359432,0.9333333333333333,0.5,0.6666666666666666,0.5714285714285715,2,2,40,1
summary_GRM8B_new,GRM-2.0-8B,10,backward_progress,45,3,0.9880952380952381,94.75,0.9777777777777777,0.75,1.0,0.8571428571428571,3,1,41,0
summary_GRM8B_new,GRM-2.0-8B,20,avg_progress,45,3,1.0,93.22211293651367,1.0,1.0,1.0,1.0,3,0,42,0
summary_GRM8B_new,GRM-2.0-8B,20,forward_progress,45,3,0.9246031746031746,93.05,0.8888888888888888,0.375,1.0,0.5454545454545454,3,5,37,0
summary_GRM8B_new,GRM-2.0-8B,20,incremental_progress,45,3,0.9761904761904762,85.88985383788963,0.9777777777777777,0.75,1.0,0.8571428571428571,3,1,41,0
summary_GRM8B_new,GRM-2.0-8B,20,backward_progress,45,3,0.9880952380952381,95.0,0.9777777777777777,0.75,1.0,0.8571428571428571,3,1,41,0
