data_tag,goal_tag,interval,task_tag,scene_object,video_success,task_matches_scene,goal_success,incremental_final,incremental_max,incremental_min,incremental_mean,incremental_max_drawdown,incremental_neg_hop_sum,incremental_pos_hop_sum,incremental_min_hop,incremental_max_hop,incremental_neg_hop_count,backward_final,backward_max,backward_min,backward_mean,backward_max_drawdown,backward_neg_hop_sum,backward_pos_hop_sum,backward_min_hop,backward_max_hop,backward_neg_hop_count,forward_final,forward_max,forward_min,forward_mean,forward_max_drawdown,forward_neg_hop_sum,forward_pos_hop_sum,forward_min_hop,forward_max_hop,forward_neg_hop_count,baseline_final_avg,trajectory_mean_avg,max_drawdown_avg,neg_hop_sum_avg
pick3fail_1,blank,10,bottle,carrot,False,False,False,13.527679580000001,16.909599475,0.0,12.029952833852459,3.3819198949999993,20.0,18.1,-20.0,5.0,1,5.000000000000004,50.0,4.799999999999994,11.49344262295082,45.2,82.40000000000009,87.4000000000001,-25.0,25.0,21,4.2,40.0,0.0,8.537704918032787,40.0,73.0,77.2,-20.0,20.0,14,7.575893193333335,10.68703345827869,29.52730663166667,58.4666666666667
pick3fail_1,blank,10,carrot,carrot,False,True,False,17.851167470987672,27.89244917341824,0.0,16.459469815058558,10.041281702430567,65.0,34.5,-25.0,6.2,3,5.299999999999994,47.4,5.000000000000004,13.72295081967213,42.39999999999999,80.19999999999996,85.49999999999996,-21.099999999999998,14.100000000000001,15,4.5,52.400000000000006,0.0,10.70983606557377,52.400000000000006,95.5,100.0,-27.400000000000002,27.400000000000002,14,9.217055823662555,13.63075223343482,34.94709390081019,80.23333333333332
pick3fail_1,blank,10,cube,carrot,False,False,False,15.863159807999999,19.828949759999997,0.0,14.13291673809836,3.965789951999998,20.0,21.5,-20.0,5.6,1,5.599999999999994,52.400000000000006,5.299999999999994,12.773770491803276,46.80000000000001,79.50000000000007,85.10000000000005,-19.100000000000005,22.099999999999998,21,5.0,52.400000000000006,0.0,11.481967213114753,47.60000000000001,78.50000000000001,83.50000000000003,-14.300000000000008,27.400000000000002,10,8.821053269333332,12.79621814767213,32.788596650666676,59.333333333333364
pick3fail_1,blank,20,bottle,carrot,False,False,False,4.228719859577456,18.1140280984256,0.0,7.030568592040196,13.885308238848143,165.8,25.700000000000003,-50.0,7.1,6,5.000000000000004,50.0,4.799999999999994,11.232258064516127,45.2,52.70000000000004,57.70000000000004,-19.999999999999996,27.800000000000004,10,3.8,33.3,0.0,8.119354838709677,33.3,42.49999999999999,46.3,-13.299999999999995,16.599999999999998,7,4.3429066198591535,8.794060498422,30.795102746282716,87.00000000000001
pick3fail_1,blank,20,carrot,carrot,False,True,False,4.288958662347603,35.008413608057445,0.0,10.384313832262624,30.719454945709842,185.0,41.3,-33.3,13.3,9,5.299999999999994,47.4,5.000000000000004,13.90322580645161,42.39999999999999,54.79999999999999,60.09999999999998,-14.100000000000001,23.9,9,0.0,36.4,0.0,10.680645161290322,36.4,56.3,56.3,-17.3,18.2,9,3.1963195541158655,11.656061600001518,36.50648498190328,98.69999999999999
pick3fail_1,blank,20,cube,carrot,False,False,False,11.811476700017865,17.92676616,0.0,8.879936886830158,6.115289459982135,115.8,29.799999999999997,-33.3,7.7,5,5.900000000000006,52.400000000000006,5.299999999999994,12.596774193548384,47.10000000000001,64.10000000000005,70.00000000000006,-21.499999999999996,26.1,14,5.0,52.400000000000006,0.0,11.625806451612902,47.60000000000001,52.80000000000001,57.80000000000001,-23.299999999999997,29.700000000000003,6,7.57049223333929,11.034172510663815,33.60509648666072,77.56666666666669
pick3fail_11,blank,10,bottle,carrot,False,False,False,1.719258473378906,26.198224356249998,0.0,7.2978116668345905,24.47896588287109,232.5,30.6,-50.0,10.0,7,4.799999999999994,52.400000000000006,0.0,12.253448275862066,52.400000000000006,76.89999999999998,81.69999999999999,-19.100000000000005,14.100000000000001,16,0.0,47.8,0.0,11.098275862068965,47.8,72.7,72.70000000000002,-17.0,9.799999999999997,16,2.1730861577929668,10.216511934921874,41.559655294290366,127.36666666666666
pick3fail_11,blank,10,carrot,carrot,False,True,False,6.894353538478609,31.03312658462084,0.0,13.413613541168594,24.138773046142234,147.8,37.4,-50.0,7.1,6,5.000000000000004,52.6,0.0,16.553448275862067,52.6,97.60000000000001,102.60000000000004,-23.9,13.8,17,0.0,52.400000000000006,0.0,16.586206896551722,52.400000000000006,86.39999999999999,86.4,-20.5,12.699999999999998,14,3.9647845128262045,15.517756237860794,43.04625768204741,110.60000000000001
pick3fail_11,blank,10,cube,carrot,False,False,False,11.739762608619078,22.009303728194748,0.0,10.601706582822393,10.26954111957567,89.4,25.900000000000002,-33.3,5.3,4,5.299999999999994,50.0,5.299999999999994,12.144827586206892,44.7,57.300000000000004,62.6,-20.699999999999996,12.8,6,0.0,50.0,0.0,11.779310344827586,50.0,86.50000000000001,86.5,-17.4,10.299999999999997,15,5.67992086953969,11.50861483795229,34.98984703985856,77.73333333333335
pick3fail_11,blank,20,bottle,carrot,False,False,False,3.8351140868863176,37.25566023188126,0.0,12.062711272347862,33.420546144994944,221.2,50.5,-50.0,10.0,6,4.799999999999994,50.0,4.5000000000000036,12.862068965517238,45.5,52.300000000000004,57.099999999999994,-31.000000000000007,18.299999999999994,7,0.0,47.8,0.0,11.799999999999999,47.8,60.19999999999999,60.19999999999999,-27.799999999999997,17.4,12,2.878371362295437,12.2415934126217,42.24018204833165,111.23333333333332
